Date,OPEN,HIGH,LOW,CLOSE
1/30/2009 0:00:00,6407.04,6722.56,6384,6693.12
2/2/2009 0:00:00,6918.4,6918.4,6652.16,6672
2/3/2009 0:00:00,6664.96,6664.96,6355.84,6359.68
2/4/2009 0:00:00,6288,6424.96,6208,6383.36
2/5/2009 0:00:00,6502.4,6642.56,6281.6,6344.32
2/6/2009 0:00:00,6336,6337.28,6083.84,6252.8
2/9/2009 0:00:00,6293.12,6420.48,6263.68,6357.12
2/10/2009 0:00:00,6464,6762.24,6321.92,6694.4
2/11/2009 0:00:00,6659.2,6709.12,6534.4,6596.48
2/12/2009 0:00:00,6736,6912,6576.64,6576.64
2/13/2009 0:00:00,6607.36,6607.36,6464,6527.36
2/17/2009 0:00:00,6848,7089.92,6784,6853.76
2/18/2009 0:00:00,6720,7019.52,6720,6926.08
2/19/2009 0:00:00,6913.92,6979.2,6751.36,6929.92
2/20/2009 0:00:00,7160.96,7449.6,7132.16,7252.48
2/23/2009 0:00:00,7104,7649.28,7104,7640.32
2/24/2009 0:00:00,7680,7680,6892.8,6917.12
2/25/2009 0:00:00,6993.28,7234.56,6728.96,6876.8
2/26/2009 0:00:00,6782.72,7002.24,6589.44,6945.28
2/27/2009 0:00:00,7277.44,7277.44,6781.44,6954.88
3/2/2009 0:00:00,7105.28,7553.28,7105.28,7448.96
3/3/2009 0:00:00,7235.2,7587.2,7235.2,7417.6
3/4/2009 0:00:00,7359.36,7359.36,6706.56,6899.84
3/5/2009 0:00:00,7078.4,7359.36,6944.64,7315.2
3/6/2009 0:00:00,7358.72,7399.04,7084.8,7256.32
3/9/2009 0:00:00,7267.2,7328,7056.64,7284.48
3/10/2009 0:00:00,7232,7232,6698.24,6741.76
3/11/2009 0:00:00,6656,6796.8,6538.24,6691.84
3/12/2009 0:00:00,6678.4,6764.8,6523.52,6575.36
3/13/2009 0:00:00,6540.8,6751.36,6526.08,6672
3/16/2009 0:00:00,6656,6913.28,6631.04,6906.88
3/17/2009 0:00:00,6974.72,6995.2,6654.08,6667.52
3/18/2009 0:00:00,6726.4,6791.04,6534.4,6684.16
3/19/2009 0:00:00,6713.6,6997.76,6528,6997.76
3/20/2009 0:00:00,6945.28,7479.04,6944,7421.448
3/23/2009 0:00:00,7232,7344,6931.84,6951.68
3/24/2009 0:00:00,7008.64,7099.832,6817.92,7065.6
3/25/2009 0:00:00,6915.2,7144.96,6729.6,6952.96
3/26/2009 0:00:00,6828.16,6828.8,6603.52,6679.04
3/27/2009 0:00:00,6686.08,6874.24,6686.08,6867.84
3/30/2009 0:00:00,7168,7452.8,7114.24,7378.56
3/31/2009 0:00:00,7321.6,7358.712,7123.2,7245.44
4/1/2009 0:00:00,7489.92,7615.36,7078.4,7114.88
4/2/2009 0:00:00,6912,7101.44,6815.36,6998.4
4/3/2009 0:00:00,7299.2,7299.2,6837.76,6874.88
4/6/2009 0:00:00,6936.96,7029.76,6902.4,6913.28
4/7/2009 0:00:00,6968.96,7040,6849.92,6912.64
4/8/2009 0:00:00,6768.64,6930.56,6758.4,6769.92
4/9/2009 0:00:00,6592,6608,6447.36,6519.04
4/13/2009 0:00:00,6561.28,6624.896,6397.44,6423.68
4/14/2009 0:00:00,6513.92,6536.32,6396.16,6428.16
4/15/2009 0:00:00,6465.28,6465.28,6263.04,6272
4/16/2009 0:00:00,6208,6241.92,5998.72,6074.24
4/17/2009 0:00:00,6079.36,6182.4,5923.84,5934.72
4/20/2009 0:00:00,6053.76,6407.68,6005.76,6373.76
4/21/2009 0:00:00,6426.24,6468.48,6119.04,6148.48
4/22/2009 0:00:00,6220.8,6220.8,5907.84,6161.28
4/23/2009 0:00:00,6138.24,6246.4,6071.04,6133.12
4/24/2009 0:00:00,6106.24,6180.48,6034.56,6119.04
4/27/2009 0:00:00,6143.36,6321.272,6130.56,6292.48
4/28/2009 0:00:00,6356.48,6389.76,6141.44,6215.04
4/29/2009 0:00:00,6195.84,6195.84,5843.264,5953.28
4/30/2009 0:00:00,5941.12,6032.712,5773.44,6000.64
5/1/2009 0:00:00,5987.84,6075.52,5875.2,5923.84
5/4/2009 0:00:00,5820.8,5885.44,5591.04,5608.32
5/5/2009 0:00:00,5623.04,5733.76,5623.04,5656.32
5/6/2009 0:00:00,5614.72,5614.72,5437.44,5461.76
5/7/2009 0:00:00,5408,5603.84,5342.08,5540.48
5/8/2009 0:00:00,5521.92,5521.92,5215.36,5289.6
5/11/2009 0:00:00,5353.6,5484.16,5282.56,5336.96
5/12/2009 0:00:00,5297.92,5452.8,5270.4,5309.44
5/13/2009 0:00:00,5506.56,5518.72,5361.92,5473.92
5/14/2009 0:00:00,5587.2,5587.2,5216.64,5242.88
5/15/2009 0:00:00,5216,5400.96,5136.64,5339.52
5/18/2009 0:00:00,5343.36,5343.36,4959.36,4984.32
5/19/2009 0:00:00,4922.88,5024.64,4814.08,4887.68
5/20/2009 0:00:00,4851.2,4961.28,4605.44,4952.32
5/21/2009 0:00:00,5023.36,5341.44,4970.24,5228.8
5/22/2009 0:00:00,5212.8,5363.84,5121.28,5363.84
5/26/2009 0:00:00,5363.84,5363.84,4897.28,5031.04
5/27/2009 0:00:00,5008,5196.16,4873.6,5173.76
5/28/2009 0:00:00,5142.4,5240.96,5002.88,5099.52
5/29/2009 0:00:00,4981.12,5120.64,4974.72,4987.52
6/1/2009 0:00:00,4920.32,4923.52,4686.72,4761.6
6/2/2009 0:00:00,4797.44,4876.16,4654.08,4826.24
6/3/2009 0:00:00,4875.52,5138.56,4854.4,5059.2
6/4/2009 0:00:00,5038.08,5068.16,4914.56,4961.92
6/5/2009 0:00:00,4964.48,5062.4,4846.08,4950.4
6/8/2009 0:00:00,4994.56,5120.64,4896.64,4975.36
6/9/2009 0:00:00,4953.6,4953.6,4728.96,4752.64
6/10/2009 0:00:00,4686.08,4960.64,4673.28,4800
6/11/2009 0:00:00,4775.68,4775.68,4574.72,4691.84
6/12/2009 0:00:00,4730.24,4741.76,4593.28,4601.6
6/15/2009 0:00:00,4665.6,4816,4651.84,4805.76
6/16/2009 0:00:00,4833.28,5038.08,4746.88,4979.2
6/17/2009 0:00:00,4994.56,5137.28,4965.128,5052.8
6/18/2009 0:00:00,5042.56,5100.152,4924.16,5004.16
6/19/2009 0:00:00,5009.28,5009.28,4832,4865.28
6/22/2009 0:00:00,4990.08,5116.16,4910.72,5059.84
6/23/2009 0:00:00,5047.68,5112.952,4938.88,4940.8
6/24/2009 0:00:00,4940.16,4940.16,4722.048,4762.888
6/25/2009 0:00:00,4824.32,4824.32,4511.36,4538.24
6/26/2009 0:00:00,4585.6,4602.88,4433.28,4467.2
6/29/2009 0:00:00,4476.16,4498.56,4273.928,4285.44
6/30/2009 0:00:00,4287.36,4417.92,4215.68,4359.04
7/1/2009 0:00:00,4310.4,4346.88,4229.12,4341.76
7/2/2009 0:00:00,4407.68,4587.52,4402.56,4581.12
7/6/2009 0:00:00,4638.08,4677.12,4517.12,4522.88
7/7/2009 0:00:00,4583.04,4700.8,4531.84,4661.76
7/8/2009 0:00:00,4703.36,4947.2,4638.72,4761.6
7/9/2009 0:00:00,4704,4747.52,4601.6,4683.52
7/10/2009 0:00:00,4709.76,4782.72,4663.04,4681.6
7/13/2009 0:00:00,4702.72,4718.08,4473.6,4524.8
7/14/2009 0:00:00,4495.36,4530.56,4395.52,4424.96
7/15/2009 0:00:00,4335.36,4366.72,4223.36,4315.52
7/16/2009 0:00:00,4343.68,4344.96,4218.88,4243.84
7/17/2009 0:00:00,4256,4268.16,4208,4245.12
7/20/2009 0:00:00,4223.36,4261.12,4145.92,4162.56
7/21/2009 0:00:00,4127.36,4183.68,4088.96,4102.4
7/22/2009 0:00:00,4146.56,4161.92,3890.56,3928.32
7/23/2009 0:00:00,3944.96,3951.36,3797.12,3815.68
7/24/2009 0:00:00,3841.28,3864.96,3797.12,3799.68
7/27/2009 0:00:00,3854.72,3883.52,3799.04,3840
7/28/2009 0:00:00,3903.36,4030.072,3841.28,4003.2
7/29/2009 0:00:00,4020.48,4091.52,3971.2,4046.08
7/30/2009 0:00:00,3980.16,3990.4,3889.92,3942.4
7/31/2009 0:00:00,3960.32,3974.4,3888.64,3966.08
8/3/2009 0:00:00,3925.76,3953.92,3870.08,3895.68
8/4/2009 0:00:00,3925.12,3941.76,3841.28,3852.8
8/5/2009 0:00:00,3873.28,3912.32,3827.84,3836.8
8/6/2009 0:00:00,3839.36,3916.16,3781.12,3887.36
8/7/2009 0:00:00,3842.56,3888,3680.64,3729.28
8/10/2009 0:00:00,3763.2,3817.6,3729.28,3734.4
8/11/2009 0:00:00,3774.72,3937.28,3768.32,3840
8/12/2009 0:00:00,3848.96,3860.48,3715.2,3751.04
8/13/2009 0:00:00,3752.96,3806.72,3656.96,3664.64
8/14/2009 0:00:00,3678.72,3810.552,3678.72,3767.68
8/17/2009 0:00:00,3869.44,3989.12,3864.32,3972.48
8/18/2009 0:00:00,3960.32,3976.96,3868.168,3894.4
8/19/2009 0:00:00,3948.16,3966.72,3732.48,3768.96
8/20/2009 0:00:00,3756.16,3768.32,3678.08,3698.56
8/21/2009 0:00:00,3664,3669.12,3612.8,3631.36
8/24/2009 0:00:00,3619.84,3663.36,3588.48,3645.44
8/25/2009 0:00:00,3638.4,3751.68,3606.4,3728.64
8/26/2009 0:00:00,3712,3780.48,3693.696,3772.8
8/27/2009 0:00:00,3773.44,3824,3673.6,3680.64
8/28/2009 0:00:00,3632,3746.56,3626.376,3744.64
8/31/2009 0:00:00,3781.76,3838.08,3776,3786.88
9/1/2009 0:00:00,3825.28,3998.08,3739.672,3991.04
9/2/2009 0:00:00,4002.56,4015.36,3952,4012.16
9/3/2009 0:00:00,4001.28,4007.04,3810.56,3821.44
9/4/2009 0:00:00,3842.56,3846.4,3712,3712.648
9/8/2009 0:00:00,3680.64,3682.56,3584,3588.48
9/9/2009 0:00:00,3583.36,3596.8,3468.8,3472.64
9/10/2009 0:00:00,3466.88,3489.28,3328.64,3335.04
9/11/2009 0:00:00,3322.88,3397.12,3274.24,3378.56
9/14/2009 0:00:00,3392,3431.68,3276.16,3282.56
9/15/2009 0:00:00,3286.4,3324.8,3249.92,3264
9/16/2009 0:00:00,3264,3275.52,3143.04,3169.28
9/17/2009 0:00:00,3160.32,3216.64,3129.6,3184.64
9/18/2009 0:00:00,3180.8,3262.08,3153.28,3244.8
